id_usuario,nombre,mail,contrasena,username,fecha_nacimiento
1,Elizabeth Miller,emiller@gmail.com,oCcUFjmL,emiller1965,1967-08-16
2,Michelle Williams,mwilliams@gmail.com,W9Sxt1sQ,mwilliams1985,2000-08-04
3,Sharon Garcia,sgarcia@yahoo.com,6Jb2Rmc6,sgarcia1969,1942-11-23
4,Lawrence Lowe,llowe@yahoo.com,TYhtqhqs,llowe1987,1944-05-22
5,Allison West,awest@gmail.com,0os2ByK9,awest1969,1952-07-17
6,Janet Larson,jlarson@yahoo.es,ZWln3gsP,jlarson1989,1945-11-03
7,Richard Anderson,randerson@gmail.com,VnWlMevi,randerson1979,1981-01-14
8,Jordan Padilla,jpadilla@hotmail.com,zmFAxjyR,jpadilla1998,1948-04-23
9,Jeffrey Aguirre,jaguirre@yahoo.it,dL1lawrd,jaguirre1971,2006-08-07
10,Antonio Shaw,ashaw@icloud.com,qSOfdTgQ,ashaw1989,1966-10-28
11,Michael Marshall,mmarshall@yahoo.es,JAteLxYq,mmarshall1982,2003-02-16
12,Steven Sullivan,ssullivan@yahoo.com,oSCRZPnt,ssullivan1988,2001-10-07
13,John Wade,jwade@gmail.com,Uua8Ljit,jwade1974,1969-12-20
14,Barbara Jordan,bjordan@icloud.com,ZKzV0qA0,bjordan1960,1985-01-01
15,Tara Gibbs,tgibbs@yahoo.it,Cz1g9YVj,tgibbs1996,1988-10-14
16,Nicole Vaughan,nvaughan@yahoo.com,SLUiCqtJ,nvaughan1974,1981-03-29
17,Ivarov,ivarov@hotmail.com,IUxIUoVM,ivarov1965,1982-03-31
18,Eric Smith,esmith@gmail.com,wDVCL6t3,esmith1962,2004-06-23
19,Bradley Patel,bpatel@icloud.com,4oeUETEP,bpatel1980,2015-02-14
20,Andrew Hardin,ahardin@yahoo.com,ppJdCeFu,ahardin1981,2014-07-29
21,Ryan Martin,rmartin@yahoo.it,2zsdEc1r,rmartin1967,2009-08-21
22,Daniel Bentley,dbentley@yahoo.it,dVk9wNFx,dbentley1972,1973-03-16
23,Donna Johnson,djohnson@yahoo.es,oxf4uFom,djohnson1984,1949-09-18
24,Amy Hodges,ahodges@hotmail.com,74hoyHJw,ahodges1994,1992-07-27
